status,kind,callable_key,symbol,isis9_symbol_type,isis10_symbol_type
unchanged,method,Isis::APrioriZFilter::APrioriZFilter,"Isis::APrioriZFilter::APrioriZFilter(QFlags<Isis::AbstractFilter::FilterEffectiveness>, int)",T,T
unchanged,method,Isis::APrioriZFilter::clone,Isis::APrioriZFilter::clone() const,T,T
unchanged,method,Isis::APrioriZFilter::evaluate,Isis::APrioriZFilter::evaluate(Isis::ControlMeasure const*) const,T,T
unchanged,method,Isis::APrioriZFilter::evaluate,Isis::APrioriZFilter::evaluate(Isis::ControlPoint const*) const,T,T
removed,method,Isis::APrioriZFilter::evaluate,"Isis::APrioriZFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const",T,
added,method,Isis::APrioriZFilter::evaluate,"Isis::APrioriZFilter::evaluate(std::pair<QString, Isis::ControlNet*> const*) const",,T
unchanged,method,Isis::APrioriZFilter::getImageDescription,Isis::APrioriZFilter::getImageDescription() const,T,T
unchanged,method,Isis::APrioriZFilter::getPointDescription,Isis::APrioriZFilter::getPointDescription() const,T,T
unchanged,method,Isis::APrioriZFilter::metaObject,Isis::APrioriZFilter::metaObject() const,T,T
unchanged,method,Isis::APrioriZFilter::qt_metacall,"Isis::APrioriZFilter::qt_metacall(QMetaObject::Call, int, void**)",T,T
unchanged,method,Isis::APrioriZFilter::qt_metacast,Isis::APrioriZFilter::qt_metacast(char const*),T,T
unchanged,data,,Isis::APrioriZFilter::staticMetaObject,D,D
unchanged,method,Isis::APrioriZFilter::~APrioriZFilter,Isis::APrioriZFilter::~APrioriZFilter(),T,T
unchanged,method,Isis::APrioriZSigmaFilter::APrioriZSigmaFilter,Isis::APrioriZSigmaFilter::APrioriZSigmaFilter(Isis::APrioriZSigmaFilter const&),T,T
unchanged,method,Isis::APrioriZSigmaFilter::APrioriZSigmaFilter,"Isis::APrioriZSigmaFilter::APrioriZSigmaFilter(QFlags<Isis::AbstractFilter::FilterEffectiveness>, int)",T,T
unchanged,method,Isis::APrioriZSigmaFilter::clone,Isis::APrioriZSigmaFilter::clone() const,T,T
unchanged,method,Isis::APrioriZSigmaFilter::evaluate,Isis::APrioriZSigmaFilter::evaluate(Isis::ControlMeasure const*) const,T,T
unchanged,method,Isis::APrioriZSigmaFilter::evaluate,Isis::APrioriZSigmaFilter::evaluate(Isis::ControlPoint const*) const,T,T
removed,method,Isis::APrioriZSigmaFilter::evaluate,"Isis::APrioriZSigmaFilter::evaluate(QPair<QString, Isis::ControlNet*> const*) const",T,
