callable_key,kind,owner,removed_signatures,added_signatures
Isis::CubeCalculator::lastPushToCubeStats,method,CubeCalculator,Isis::CubeCalculator::lastPushToCubeStats(QVector<Isis::Cube*>&),Isis::CubeCalculator::lastPushToCubeStats(QList<Isis::Cube*>&)
Isis::CubeCalculator::prepareCalculations,method,CubeCalculator,"Isis::CubeCalculator::prepareCalculations(QString, QVector<Isis::Cube*>&, Isis::Cube*)","Isis::CubeCalculator::prepareCalculations(QString, QList<Isis::Cube*>&, Isis::Cube*)"
Isis::CubeCalculator::runCalculations,method,CubeCalculator,"Isis::CubeCalculator::runCalculations(QVector<Isis::Buffer*>&, int, int)","Isis::CubeCalculator::runCalculations(QList<Isis::Buffer*>&, int, int)"
Isis::DemShape::calculateLocalNormal,method,DemShape,Isis::DemShape::calculateLocalNormal(QVector<double*>),Isis::DemShape::calculateLocalNormal(QList<double*>)
Isis::Directory::restructureActions,method,Directory,"Isis::Directory::restructureActions(QList<QPair<QString, QList<QAction*> > >)","Isis::Directory::restructureActions(QList<std::pair<QString, QList<QAction*> > >)"
Isis::Directory::setRecentProjectsList,method,Directory,Isis::Directory::setRecentProjectsList(QStringList),Isis::Directory::setRecentProjectsList(QList<QString>)
Isis::EllipsoidShape::calculateLocalNormal,method,EllipsoidShape,Isis::EllipsoidShape::calculateLocalNormal(QVector<double*>),Isis::EllipsoidShape::calculateLocalNormal(QList<double*>)
Isis::EmbreeShapeModel::calculateLocalNormal,method,EmbreeShapeModel,Isis::EmbreeShapeModel::calculateLocalNormal(QVector<double*>),Isis::EmbreeShapeModel::calculateLocalNormal(QList<double*>)
Isis::ExtractLatLonRange,function,,"Isis::ExtractLatLonRange(Isis::ControlNet&, QVector<QString>&, QVector<QString>&, QMap<QString, QString>, Isis::UserInterface&)","Isis::ExtractLatLonRange(Isis::ControlNet&, QList<QString>&, QList<QString>&, QMap<QString, QString>, Isis::UserInterface&)"
Isis::ExtractPointList,function,,"Isis::ExtractPointList(Isis::ControlNet&, QVector<QString>&, Isis::FileName)","Isis::ExtractPointList(Isis::ControlNet&, QList<QString>&, Isis::FileName)"
Isis::FeatureAlgorithmFactory::info,method,FeatureAlgorithmFactory,Isis::FeatureAlgorithmFactory::info(QStringList const&) const,Isis::FeatureAlgorithmFactory::info(QList<QString> const&) const
